,Unnamed: 0,quoteID,quotation,speaker,qids,date,numOccurrences,probas,urls,phase
10,55469,2020-02-11-080383,"The Department of Justice is receiving information coming out of Ukraine from Rudy to see,",Lindsey Graham,['Q22212'],2020-02-11 00:00:00,1,"[['Lindsey Graham', '0.7604'], ['None', '0.1881'], ['William Barr', '0.0225'], ['President Donald Trump', '0.0201'], ['Rudy Giuliani', '0.0047'], ['Hunter Biden', '0.0042']]",['http://www.neonnettle.com/news/10282-trump-the-swamp-is-worse-than-i-thought-'],E
11,55523,2020-02-29-034006,The LGBTQ community in Syracuse is incredibly diverse and vibrant.,Kevin Bailey,"['Q25711398', 'Q6395768', 'Q6395769']",2020-02-29 00:00:00,1,"[['Kevin Bailey', '0.6081'], ['None', '0.3834'], ['Scott Thomas', '0.0085']]",['https://theahl.com/crunchs-pride-night-promotes-inclusion-fun'],E
12,60082,2020-02-27-046244,largely based around diversity and inclusion programs that companies have to further workplace protections for LGBTQI communities,David Harris,"['Q1174678', 'Q16209429', 'Q16729662', 'Q18391693', 'Q22004798', 'Q26265786', 'Q3018038', 'Q42411383', 'Q48796887', 'Q5234738', 'Q5234740', 'Q5234741', 'Q5234743', 'Q5234744', 'Q5234746', 'Q5234747', 'Q54556308', 'Q56596952', 'Q92696']",2020-02-27 05:02:24,3,"[['David Harris', '0.9105'], ['None', '0.0895']]","['http://www.brisbanetimes.com.au/national/nsw/mardi-gras-rejected-sexpo-partnership-to-protect-family-oriented-identity-20200226-p544j3.html', 'https://www.smh.com.au/national/nsw/mardi-gras-rejected-sexpo-partnership-to-protect-family-oriented-identity-20200226-p544j3.html?ref=rss&utm_medium=rss&utm_source=rss_feed', 'https://www.theage.com.au/national/nsw/mardi-gras-rejected-sexpo-partnership-to-protect-family-oriented-identity-20200226-p544j3.html?ref=rss&utm_medium=rss&utm_source=rss_feed']",E
13,61591,2020-02-04-008182,"As we got closer to publication and articles started coming out with interviews with [ Cummins ], a lot of us became kind of concerned,",David Bowles,"['Q18421927', 'Q21170458', 'Q56854943']",2020-02-04 02:28:20,1,"[['David Bowles', '0.9655'], ['None', '0.0345']]",['https://www.themonitor.com/2020/02/03/american-dirt-debate-rages-utrgv-tackles-discussion/'],E
14,70670,2020-01-27-062687,"Shoot me if you want, but you'd better kill all social Conservatives who stand for life, traditional marriage, and pro-family values, and against abortion without restrictions, euthanasia that denies doctors' conscience rights, and Bill S-202 banning conversion therapy for transgender children under age 18.",Andrew Scheer,['Q2846724'],2020-01-27 00:00:00,1,"[['Andrew Scheer', '0.9221'], ['None', '0.0779']]",['https://www.wallaceburgcourierpress.com/opinion/letters/conservatives-wrong-to-turn-on-scheer'],E
15,76479,2020-01-28-097364,"We are addressing gender equality on a number of fronts to ensure we drive strong employee engagement and retention and improve our productivity and business performance. This includes a board-endorsed diversity and Inclusion policy, an executive team endorsed D&I strategy and an active D&I Council driven by employee-led working groups.",Peter Allen,"['Q3376422', 'Q3376424', 'Q3900814', 'Q40794507', 'Q7172496', 'Q7172498', 'Q7172499', 'Q7172500']",2020-01-28 21:00:51,1,"[['Peter Allen', '0.9755'], ['None', '0.0245']]",['https://www.insideretail.com.au/news/scentre-lauded-on-gender-equality-202001'],E
16,78633,2020-02-20-063094,"That just doesn't cut it. The mayor has to stand on his record. And what we need to know is exactly what's lurking out there. He has gotten some number of women, dozens who knows, to sign non-disclosure agreements both for sexual harassment and for gender discrimination in the workplace. So mister mayor, are you willing to release all of those women from those non-disclosure agreement so we can hear their side of the story?",Elizabeth Warren,['Q434706'],2020-02-20 17:09:25,1,"[['Elizabeth Warren', '0.8617'], ['None', '0.102'], ['Michael Bloomberg', '0.0363']]",['https://newsone.com/playlist/elizabeth-warren-democratic-debate-candidates-internet/'],E
17,78804,2020-03-16-058291,"The question is, do you want them coming out more damaged and able to do more damage to society, or do you want them to be a benefit to the community?",Tom Dart,['Q5846659'],2020-03-16 00:00:00,25,"[['Tom Dart', '0.6943'], ['None', '0.3057']]","['http://whec.com/politics/detainees-walk-out-of-cells-into-voting-booths-in-chicago/5675768/?cat=10036', 'http://www.fox32chicago.com/news/detainees-walk-out-of-cells-into-voting-booths-in-chicago-3', 'https://www.washingtontimes.com/news/2020/mar/16/detainees-walk-out-of-cells-into-voting-booths-in-/?utm_source=RSS_Feed&utm_medium=RSS', 'http://www.washingtontimes.com/news/2020/mar/16/chicago-inmates-vote-polling-places-set-jail/', 'http://news4jax.com/news/politics/2020/03/16/detainees-walk-out-of-cells-into-voting-booths-in-chicago/', 'http://www.clickondetroit.com/news/politics/2020/03/16/detainees-walk-out-of-cells-into-voting-booths-in-chicago/', 'http://www.local10.com/news/politics/2020/03/16/detainees-walk-out-of-cells-into-voting-booths-in-chicago/', 'http://greenwichtime.com/news/us/article/Detainees-walk-out-of-cells-into-voting-booths-15135258.php', 'http://registercitizen.com/news/us/article/Detainees-walk-out-of-cells-into-voting-booths-15135258.php', 'http://www.fairfieldcitizenonline.com/news/us/article/Detainees-walk-out-of-cells-into-voting-booths-15135258.php', 'http://www.fox23.com/news/national/detainees-walk-out/2T2YAXR55USRUIPH7XYEN2HNMA/', 'http://www.fox25boston.com/news/national/detainees-walk-out/2T2YAXR55USRUIPH7XYEN2HNMA/', 'http://www.nhregister.com/news/us/article/Detainees-walk-out-of-cells-into-voting-booths-15135258.php', 'https://www.sfgate.com/news/us/article/Detainees-walk-out-of-cells-into-voting-booths-15135258.php', 'http://www.startribune.com/detainees-walk-out-of-cells-into-voting-booths-in-chicago/568837132/', 'https://www.mymotherlode.com/news/national/us-general-election/1026916/detainees-walk-out-of-cells-into-voting-booths-in-chicago.html', 'http://ctpost.com/news/crime/article/Detainees-walk-out-of-cells-into-voting-booths-15135258.php', 'http://gazette.com/ap/state/detainees-walk-out-of-cells-into-voting-booths-in-chicago/article_5a014bd3-377f-50f1-93ef-e3bc0d501fab.html', 'http://lufkindailynews.com/anpa/us/article_19238fee-05cf-54d1-83e6-677617cfa638.html', 'http://stamfordadvocate.com/news/crime/article/Detainees-walk-out-of-cells-into-voting-booths-15135258.php', 'http://westport-news.com/news/crime/article/Detainees-walk-out-of-cells-into-voting-booths-15135258.php', 'http://www.fairfieldcitizenonline.com/news/crime/article/Detainees-walk-out-of-cells-into-voting-booths-15135258.php', 'http://www.nhregister.com/news/crime/article/Detainees-walk-out-of-cells-into-voting-booths-15135258.php', 'http://www.thehour.com/news/crime/article/Detainees-walk-out-of-cells-into-voting-booths-15135258.php', 'https://www.riverbender.com/rotatorclick.cfm?link=topnews/details.cfm?id=299145']",E
18,80838,2020-03-11-042801,"Moving forward, I urge him to learn from our LGBTQ community, and commit to leading with inclusion, not division,",Nikema Williams,['Q56486570'],2020-03-11 17:36:27,1,"[['Nikema Williams', '0.6298'], ['None', '0.2994'], ['Vernon Jones', '0.0708']]",['http://www.myajc.com/news/local/dems-ask-lawmaker-apologize-for-comments-transgender-official/xclS9JhWzu4yc6IfH0zJIO/'],E
19,85246,2020-03-07-009371,"His has a lot more to do with sexuality and, I don't know, a certain view of rectitude. Even if you buy into that, how could he allow himself to become the cheerleader of the porn star presidency?",Pete Buttigieg,['Q7173106'],2020-03-07 15:48:16,7,"[['Pete Buttigieg', '0.5799'], ['None', '0.3867'], ['Mike Pence', '0.0334']]","['http://cnn.com/2020/03/07/politics/pete-buttigieg-lgbtq/index.html', 'http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/tyu-BJhjaSA/index.html', 'https://ktvz.com/politics/2020/03/07/pete-buttigieg-wont-be-president-in-2020-but-his-campaign-changed-the-game-for-lgbtq-americans/', 'https://kvia.com/your-voice-your-vote/politics/2020/03/07/pete-buttigieg-wont-be-president-in-2020-but-his-campaign-changed-the-game-for-lgbtq-americans/', 'https://localnews8.com/news/politics/2020/03/07/pete-buttigieg-wont-be-president-in-2020-but-his-campaign-changed-the-game-for-lgbtq-americans/', 'http://wicz.com/story/41865726/pete-buttigieg-wont-be-president-in-2020-but-his-campaign-changed-the-game-for-lgbtq-americans', 'https://wsvn.com/news/politics/pete-buttigieg-wont-be-president-in-2020-but-his-campaign-changed-the-game-for-lgbtq-americans/']",E
