State,Portrait,Senator,Party,Party,Born,Occupation(s),Previous electiveoffice(s),Education,Assumed office,Term up,Residence
Alabama,,Richard Shelby,,Republican[2],"May 6, 1934 (age 87)",Lawyer,U.S. HouseAlabama Senate,"University of Alabama (BA, LLB) Birmingham School of Law (JD)","January 3, 1987",2022,Tuscaloosa[3]
Alabama,,Tommy Tuberville,,Republican,"September 18, 1954 (age 67)","College football coachPartner, investment management firm",None,Southern Arkansas University (BS),"January 3, 2021",2026,Auburn
Alaska,,Lisa Murkowski,,Republican,"May 22, 1957 (age 64)",Lawyer,Alaska House of Representatives,Georgetown University (AB) Willamette University (JD),"December 20, 2002[d]",2022,Girdwood[4]
Alaska,,Dan Sullivan,,Republican,"November 13, 1964 (age 56)",U.S. Marine Corps officerLawyerAssistant Secretary of State for Economic and Business Affairs,Alaska Attorney General,"Harvard University (AB) Georgetown University (MS, JD)","January 3, 2015",2026,Anchorage[5]
Arizona,,Kyrsten Sinema,,Democratic,"July 12, 1976 (age 45)",Social workerPolitical activistLawyerCollege lecturer,U.S. HouseArizona SenateArizona House of Representatives,"Brigham Young University (BA) Arizona State University, Tempe (MSW, JD, PhD)","January 3, 2019",2024,Phoenix[6]
Arizona,,Mark Kelly,,Democratic,"February 21, 1964 (age 57)","U.S. Navy officerNASA AstronautFounder, Americans for Responsible Solutions non-profit organization",None,United States Merchant Marine Academy (BS) Naval Postgraduate School (MS),"December 2, 2020[e]",2022,Tucson
Arkansas,,John Boozman,,Republican,"December 10, 1950 (age 70)",Optometrist,U.S. HouseRogers Public Schools Board,University of Arkansas Southern College of Optometry (OD),"January 3, 2011",2022,Rogers[9]
Arkansas,,Tom Cotton,,Republican,"May 13, 1977 (age 44)",LawyerUnited States Army officer,U.S. House,"Harvard University (AB, JD)","January 3, 2015",2026,Dardanelle[9]
California,,Dianne Feinstein,,Democratic,"June 22, 1933 (age 88)","Non-profit organization fellowMember, California Women's Parole Board",Mayor of San FranciscoSan Francisco Board of Supervisors,Stanford University (BA),"November 10, 1992[f]",2024,San Francisco[10]
California,,Alex Padilla,,Democratic,"March 22, 1973 (age 48)",Engineer,Secretary of State of CaliforniaCalifornia SenateLos Angeles City Council President,Massachusetts Institute of Technology (BS),"January 20, 2021[g]",2022,Los Angeles[11]
Colorado,,Michael Bennet,,Democratic,"November 28, 1964 (age 56)",LawyerInvestment company executiveDenver Public Schools SuperintendentChief of staff to the Mayor of Denver,None,Wesleyan University (BA) Yale University (JD),"January 21, 2009[h]",2022,Denver[12]
Colorado,,John Hickenlooper,,Democratic,"February 7, 1952 (age 69)",GeologistBusinessman,Governor of ColoradoMayor of Denver,"Wesleyan University (BA, MS)","January 3, 2021",2026,Denver[12]
Connecticut,,Richard Blumenthal,,Democratic,"February 13, 1946 (age 75)",Marine Corps Reserve SergeantSenate stafferLawyerU.S. Attorney,Connecticut Attorney GeneralConnecticut SenateConnecticut House of Representatives,"Harvard University (AB) Trinity College, Cambridge Yale University (JD)","January 3, 2011",2022,Greenwich[13]
Connecticut,,Chris Murphy,,Democratic,"August 3, 1973 (age 48)",LawyerPolitical campaign manager,U.S. HouseConnecticut SenateConnecticut House of Representatives,"Williams College (BA) Exeter College, Oxford University of Connecticut (JD)","January 3, 2013",2024,Cheshire[13]
Delaware,,Tom Carper,,Democratic,"January 23, 1947 (age 74)","U.S. Navy officerStaff, Delaware Office of Economic Development",Governor of DelawareU.S. HouseDelaware Treasurer,The Ohio State University (BA) University of Delaware (MBA),"January 3, 2001",2024,Wilmington[14]
Delaware,,Chris Coons,,Democratic,"September 9, 1963 (age 58)",Nonprofit organization executiveLawyer,"New Castle County, Delaware County ExecutiveMember, New Castle County Council","Amherst College (BA) Yale University (MAR, JD)","November 15, 2010[i]",2026,Wilmington[14]
