State,Portrait,Senator,Party,Party,Born,Occupation(s),Previous electiveoffice(s),Education,Assumed office,Term up,Residence
Florida,,Marco Rubio,,Republican,"May 28, 1971 (age 50)",Lawyer,Florida House SpeakerWest Miami City Commission,University of Florida (BA) University of Miami (JD),"January 3, 2011",2022,Miami
Florida,,Rick Scott,,Republican,"December 1, 1952 (age 68)","Petty officer third class, U.S. NavyLawyerColumbia/HCA CEOVenture capitalist",Governor of Florida,University of Missouri-Kansas City (BS) Southern Methodist University (JD),"January 8, 2019[j]",2024,Naples[15]
Georgia,,Jon Ossoff,,Democratic,"February 16, 1987 (age 34)",Investigative journalistDocumentary film producerU.S. House staffer,None,Georgetown University (BS) London School of Economics (MSc),"January 20, 2021",2026,Atlanta
Georgia,,Raphael Warnock,,Democratic,"July 23, 1969 (age 52)",Pastor,None,"Morehouse College (BA) Union Theological Seminary (MDiv, MPhil, PhD)","January 20, 2021[k]",2022,Atlanta[16]
Hawaii,,Brian Schatz,,Democratic,"October 20, 1972 (age 49)",TeacherNonprofit organization executive,Lieutenant Governor of HawaiiHawaii House of Representatives,Pomona College (BA),"December 26, 2012[l]",2022,Honolulu[17]
Hawaii,,Mazie Hirono,,Democratic,"November 3, 1947 (age 73)",Lawyer,U.S. HouseLieutenant Governor of HawaiiHawaii House of Representatives,University of Hawaii at Manoa (BA) Georgetown University (JD),"January 3, 2013",2024,Honolulu[17]
Idaho,,Mike Crapo,,Republican,"May 20, 1951 (age 70)",Lawyer,U.S. HouseIdaho Senate,Brigham Young University (BA) Harvard University (JD),"January 3, 1999",2022,Idaho Falls[18]
Idaho,,Jim Risch,,Republican,"May 3, 1943 (age 78)",ProfessorRancherNonprofit organization executiveLawyer,Governor of IdahoLieutenant Governor of IdahoIdaho Senate President pro tempore,"University of Wisconsin-Milwaukee University of Idaho (BS, JD)","January 3, 2009",2026,Boise[18]
Illinois,,Dick Durbin,,Democratic,"November 21, 1944 (age 76)",LawyerProfessor,U.S. House,"Georgetown University (BS, JD)","January 3, 1997",2026,Springfield[19]
Illinois,,Tammy Duckworth,,Democratic,"March 12, 1968 (age 53)","Army National Guard OfficerCoordinator, Center for Nursing Research, Northern Illinois University.[20]U.S. Assistant Secretary of Veterans AffairsIllinois Director of Veterans Affairs",U.S. House,University of Hawaii at Manoa (BA) George Washington University (MA) Northern Illinois University Capella University (PhD),"January 3, 2017",2022,Hoffman Estates[19]
Indiana,,Todd Young,,Republican,"August 24, 1972 (age 49)",Marine Corps OfficerProfessorConsultantLawyer,U.S. House,"United States Naval Academy (BS) University of Chicago (MBA) University of London (MA) Indiana University, Indianapolis (JD)","January 3, 2017",2022,Greenwood[21]
Indiana,,Mike Braun,,Republican,"March 24, 1954 (age 67)",Businessman,"Indiana House of RepresentativesMember, Jasper, Indiana School Board",Wabash College (BA) Harvard University (MBA),"January 3, 2019",2024,Jasper[22]
Iowa,,Chuck Grassley,,Republican,"September 17, 1933 (age 88)",FarmerCollege professor,U.S. HouseIowa House of Representatives,"University of Northern Iowa (BA, MA) University of Iowa","January 3, 1981",2022,New Hartford[23]
Iowa,,Joni Ernst,,Republican,"July 1, 1970 (age 51)",FarmerArmy National Guard officer,Iowa Senate,Iowa State University (BA) Columbus State University (MPA),"January 3, 2015",2026,Red Oak[23]
Kansas,,Jerry Moran,,Republican,"May 29, 1954 (age 67)",BankerLawyer,U.S. HouseKansas Senate,"Fort Hays State University University of Kansas (BA, JD)","January 3, 2011",2022,Manhattan[24]
Kansas,,Roger Marshall,,Republican,"August 9, 1960 (age 61)","DoctorCaptain, U.S. Army Reserve",U.S. House,Kansas State University (BS) University of Kansas (MD),"January 3, 2021",2026,Great Bend
Kentucky,,Mitch McConnell,,Republican,"February 20, 1942 (age 79)","LawyerU.S. Senate staff memberDeputy Assistant United States Attorney, U.S. Department of Justice Office of Legislative Affairs","Judge/Executive of Jefferson County, Kentucky",University of Louisville (BA) University of Kentucky (JD),"January 3, 1985",2026,Louisville[25]
Kentucky,,Rand Paul,,Republican,"January 7, 1963 (age 58)",Physician specializing in Ophthalmology,None,Baylor University Duke University (MD),"January 3, 2011",2022,Bowling Green[25]
Louisiana,,Bill Cassidy,,Republican,"September 28, 1957 (age 64)",Physician,U.S. HouseLouisiana Senate,"Louisiana State University (BS, MD)","January 3, 2015",2026,Baton Rouge[26]
Louisiana,,John Kennedy,,Republican,"November 21, 1951 (age 69)",Magazine editorLawyerProfessorStaff of Louisiana Governor Buddy RoemerSecretary of the Louisiana Department of Revenue,Louisiana Treasurer,"Vanderbilt University (BA) University of Virginia (JD) Magdalen College, Oxford (BCL)","January 3, 2017",2022,Madisonville[26]
Maine,,Susan Collins,,Republican,"December 7, 1952 (age 68)","House stafferSenate stafferRegional director, Small Business AdministrationDeputy Treasurer of Massachusetts",None,St. Lawrence University (BA),"January 3, 1997",2026,Bangor[27]
Maine,,Angus King,,Independent[a],"March 31, 1944 (age 77)",LawyerSenate stafferBusiness founderCorporate executivePublic television news program host,Governor of Maine,Dartmouth College (BA) University of Virginia (JD),"January 3, 2013",2024,Brunswick
Maryland,,Ben Cardin,,Democratic,"October 5, 1943 (age 78)",Lawyer,U.S. HouseSpeaker of the Maryland House of Delegates,"University of Pittsburgh (BA) University of Maryland, Baltimore (JD)","January 3, 2007",2024,Baltimore[28]
Maryland,,Chris Van Hollen,,Democratic,"January 10, 1959 (age 62)",U.S. Senate staff memberMaryland Governor's legislative advisorLawyer,U.S. HouseMaryland SenateMaryland House of Delegates,Swarthmore College (BA) Harvard University (MPP) Georgetown University (JD),"January 3, 2017",2022,Kensington[28]
Massachusetts,,Elizabeth Warren,,Democratic,"June 22, 1949 (age 72)",LawyerProfessorResearch associateNonprofit organization executiveCOP ChairCFPB Special Advisor,None,George Washington University University of Houston (BS) Rutgers University (JD),"January 3, 2013",2024,Cambridge[29]
Massachusetts,,Ed Markey,,Democratic,"July 11, 1946 (age 75)","Member, United States Army ReserveLawyer",U.S. HouseMassachusetts House of Representatives,"Boston College (BA, JD)","July 16, 2013[m]",2026,Malden[29]
Michigan,,Debbie Stabenow,,Democratic,"April 29, 1950 (age 71)",Social workerLeadership training consultant,U.S. HouseMichigan House of RepresentativesMichigan Senate,"Michigan State University (BA, MSW)","January 3, 2001",2024,Lansing[31]
Michigan,,Gary Peters,,Democratic,"December 1, 1958 (age 62)",United States Navy Reserve officerFinancial advisorLawyerCollege professor and lecturer,U.S. HouseMichigan Senate,"Alma College (BA) University of Detroit (MBA) Wayne State University (JD, MA) Michigan State University (MA)","January 3, 2015",2026,Bloomfield Hills[31]
Minnesota,,Amy Klobuchar,,Democratic,"May 25, 1960 (age 61)",Lawyer,"Hennepin County, Minnesota County Attorney",Yale University (BA) University of Chicago (JD),"January 3, 2007",2024,Minneapolis[32]
Minnesota,,Tina Smith,,Democratic,"March 4, 1958 (age 63)",Public relations consultantPolitical campaign managerChief of staff to the Mayor of MinneapolisChief of staff to the Governor of Minnesota,Lieutenant Governor of Minnesota,Stanford University (BA) Dartmouth College (MBA),"January 3, 2018[n]",2026,Minneapolis[32]
Mississippi,,Roger Wicker,,Republican,"July 5, 1951 (age 70)",U.S. Air Force officer/Judge AdvocateU.S. House stafferLawyer,U.S. HouseMississippi Senate,"University of Mississippi (BA, JD)","December 31, 2007[o]",2024,Tupelo[34]
Mississippi,,Cindy Hyde-Smith,,Republican,"May 10, 1959 (age 62)",Farmer,Mississippi Commissioner of Agriculture and CommerceMississippi Senate,Copiah-Lincoln Community College (AA) University of Southern Mississippi (BA),"April 9, 2018[p]",2026,Brookhaven
Missouri,,Roy Blunt,,Republican,"January 10, 1950 (age 71)",University president,"U.S. HouseMissouri Secretary of StateGreene County, Missouri Clerk",Southwest Baptist University (BA) Southern Missouri State University (MA),"January 3, 2011",2022,Springfield
Missouri,,Josh Hawley,,Republican,"December 31, 1979 (age 41)",LawyerProfessor,Attorney General of Missouri,Stanford University (BA) Yale University (JD),"January 3, 2019",2024,Springfield[35]
Montana,,Jon Tester,,Democratic,"August 21, 1956 (age 65)",Music teacherFarmer,"Montana Senate PresidentBig Sandy, Montana School Board",University of Providence (BA),"January 3, 2007",2024,Big Sandy
Montana,,Steve Daines,,Republican,"August 20, 1962 (age 59)",Businessman,U.S. House,Montana State University (BS),"January 3, 2015",2026,Bozeman
Nebraska,,Deb Fischer,,Republican,"March 1, 1951 (age 70)",Rancher,Nebraska Legislature,University of Nebraska-Lincoln (BS),"January 3, 2013",2024,Valentine
Nebraska,,Ben Sasse,,Republican,"February 22, 1972 (age 49)","Management consultantHouse stafferProfessorUniversity presidentAssistant Secretary for Planning and Evaluation, HHS",None,"Harvard University (AB) St. John's College, Maryland (MA) Yale University (MA, MPhil, PhD)","January 3, 2015",2026,Fremont
Nevada,,Catherine Cortez Masto,,Democratic,"March 29, 1964 (age 57)",Lawyer,Nevada Attorney General,"University of Nevada, Reno (BS) Gonzaga University (JD)","January 3, 2017",2022,Las Vegas
Nevada,,Jacky Rosen,,Democratic,"August 2, 1957 (age 64)","Computer programmerSoftware developer, designer, consultant[36][37]",U.S. House,University of Minnesota (BA) Clark County Community College (AAS),"January 3, 2019",2024,Henderson[36]
New Hampshire,,Jeanne Shaheen,,Democratic,"January 28, 1947 (age 74)",TeacherEntrepreneur,Governor of New HampshireNew Hampshire Senate,Shippensburg University (BA) University of Mississippi (MSS),"January 3, 2009",2026,Madbury
New Hampshire,,Maggie Hassan,,Democratic,"February 27, 1958 (age 63)",Lawyer,Governor of New HampshireNew Hampshire Senate,Brown University (BA) Northeastern University (JD),"January 3, 2017",2022,Newfields
New Jersey,,Bob Menendez,,Democratic,"January 1, 1954 (age 67)",Lawyer,U.S. HouseNew Jersey SenateNew Jersey General AssemblyMayor of Union CityUnion City Board of Education,Saint Peter's University (BA) Rutgers University (JD),"January 17, 2006[q]",2024,North Bergen[38]
New Jersey,,Cory Booker,,Democratic,"April 27, 1969 (age 52)",Lawyer,"Mayor of Newark, New JerseyNewark Municipal Council","Stanford University (BA, MA) Queen's College, Oxford (MA) Yale University (JD)","October 31, 2013[r]",2026,Newark
New Mexico,,Martin Heinrich,,Democratic,"October 17, 1971 (age 50)",Nonprofit organization executivePublic relations consultant,U.S. HouseAlbuquerque City Council,University of Missouri (BS),"January 3, 2013",2024,Albuquerque
New Mexico,,Ben Ray Luján,,Democratic,"June 7, 1972 (age 49)","Director of Administrative Services andChief Financial Officer, New Mexico Cultural Affairs DepartmentNew Mexico Deputy State Treasurer",U.S. HouseNew Mexico Public Regulation Commission,New Mexico Highlands University (BBA),"January 3, 2021",2026,Santa Fe
New York,,Chuck Schumer,,Democratic,"November 23, 1950 (age 70)",Lawyer,U.S. HouseNew York State Assembly,"Harvard University (AB, JD)","January 3, 1999",2022,New York City
New York,,Kirsten Gillibrand,,Democratic,"December 9, 1966 (age 54)",LawyerU.S. HUD special counsel,U.S. House,"Dartmouth College (BA) University of California, Los Angeles (JD)","January 26, 2009[s]",2024,Troy[40]
North Carolina,,Richard Burr,,Republican,"November 30, 1955 (age 65)",Sales managerNonprofit organization executive,U.S. House,Wake Forest University (BA),"January 3, 2005",2022,Winston-Salem
North Carolina,,Thom Tillis,,Republican,"August 30, 1960 (age 61)",Business consultant,Speaker of the North Carolina House of Representatives,University College (BS),"January 3, 2015",2026,Huntersville
North Dakota,,John Hoeven,,Republican,"March 13, 1957 (age 64)",Banker,Governor of North Dakota,Dartmouth College (BA) Northwestern University (MBA),"January 3, 2011",2022,Bismarck
North Dakota,,Kevin Cramer,,Republican,"January 21, 1961 (age 60)",State Tourism DirectorState Economic Development and Finance DirectorNorth Dakota Republican Party Chairman,U.S. HouseNorth Dakota Public Service Commissioner,Concordia College (BA) University of Mary (MA),"January 3, 2019",2024,Bismarck[41]
Ohio,,Sherrod Brown,,Democratic,"November 9, 1952 (age 68)",Teacher,U.S. HouseOhio Secretary of StateOhio House of Representatives,"Yale University (BA) Ohio State University (BA, MPA)","January 3, 2007",2024,Cleveland[42]
Ohio,,Rob Portman,,Republican,"December 19, 1955 (age 65)",LawyerU.S. Trade RepresentativeDirector of the Office of Management and Budget,U.S. House,Dartmouth College (BA) University of Michigan (JD),"January 3, 2011",2022,Terrace Park
Oklahoma,,Jim Inhofe,,Republican,"November 17, 1934 (age 86)","Specialist Fourth Class, U.S. ArmyBusinessmanReal estate developerCorporate executive","U.S. HouseMayor of Tulsa, OklahomaOklahoma SenateOklahoma House of Representatives",University of Tulsa (BA),"November 16, 1994[t]",2026,Tulsa
Oklahoma,,James Lankford,,Republican,"March 4, 1968 (age 53)",TeacherNonprofit program director,U.S. House,"University of Texas, Austin (BS) Southwestern Baptist Theological Seminary (MDiv)","January 3, 2015[u]",2022,Edmond
Oregon,,Ron Wyden,,Democratic,"May 3, 1949 (age 72)",TeacherNonprofit organization executive,U.S. House,Stanford University (BA) University of Oregon (JD),"February 5, 1996[v]",2022,Portland
Oregon,,Jeff Merkley,,Democratic,"October 24, 1956 (age 65)","Nonprofit organization executiveCBO analyst, Defense Department",Oregon House Speaker,Stanford University (BA) Princeton University (MPA),"January 3, 2009",2026,Portland
Pennsylvania,,Bob Casey Jr.,,Democratic,"April 13, 1960 (age 61)",TeacherLawyer,Pennsylvania TreasurerPennsylvania Auditor,College of the Holy Cross (BA) Catholic University of America (JD),"January 3, 2007",2024,Scranton
Pennsylvania,,Pat Toomey,,Republican,"November 17, 1961 (age 59)",Currency traderRestaurant owner,U.S. House,Harvard University (AB),"January 3, 2011",2022,Zionsville
Rhode Island,,Jack Reed,,Democratic,"November 12, 1949 (age 71)",LawyerArmy Reserve officerArmy officer,U.S. HouseRhode Island Senate,"United States Military Academy (BS) Harvard University (MPP, JD)","January 3, 1997",2026,Jamestown
Rhode Island,,Sheldon Whitehouse,,Democratic,"October 20, 1955 (age 66)",LawyerUnited States Attorney,Attorney General of Rhode Island,Yale University (BA) University of Virginia (JD),"January 3, 2007",2024,Newport
South Carolina,,Lindsey Graham,,Republican,"July 9, 1955 (age 66)",LawyerAir Force Reserve officer,U.S. HouseSouth Carolina House of Representatives,"University of South Carolina (BA, JD)","January 3, 2003",2026,Seneca
South Carolina,,Tim Scott,,Republican,"September 19, 1965 (age 56)",Insurance agentFinancial adviser,U.S. HouseSouth Carolina House of RepresentativesCharleston County Council,Presbyterian College Charleston Southern University (BS),"January 3, 2013[w]",2022,Charleston[43]
South Dakota,,John Thune,,Republican,"January 7, 1961 (age 60)",Nonprofit organization executiveState Railroad DirectorSouth Dakota Republican Party Executive Director,U.S. House,Biola University (BA) University of South Dakota (MBA),"January 3, 2005",2022,Sioux Falls
South Dakota,,Mike Rounds,,Republican,"October 24, 1954 (age 67)",Businessman,Governor of South DakotaSouth Dakota Senate,South Dakota State University (BS),"January 3, 2015",2026,Fort Pierre
Tennessee,,Marsha Blackburn,,Republican,"June 6, 1952 (age 69)","Marketing consultantExecutive Director of the Tennessee Film, Entertainment, and Music Commission",U.S. HouseTennessee Senate,Mississippi State University (BS),"January 3, 2019",2024,Brentwood[44]
Tennessee,,Bill Hagerty,,Republican,"August 14, 1959 (age 62)","Management consultantPartner, private equity investment firmUnited States Ambassador to JapanTennessee Commissioner of Economic and Community Development",None,"Vanderbilt University (BA, JD)","January 3, 2021",2026,Nashville[45]
Texas,,John Cornyn,,Republican,"February 2, 1952 (age 69)",Lawyer,San Antonio District JudgeTexas Attorney GeneralTexas Supreme Court(Associate Justice),"Trinity University (BA) St. Mary's University, Texas (JD) University of Virginia (LLM)","December 2, 2002[x]",2026,San Antonio
Texas,,Ted Cruz,,Republican,"December 22, 1970 (age 50)",LawyerU.S. Assoc. Deputy AGTexas Solicitor General,None,Princeton University (AB) Harvard University (JD),"January 3, 2013",2024,Houston
Utah,,Mike Lee,,Republican,"June 4, 1971 (age 50)",LawyerGovernor's general counselAssistant United States Attorney,None,"Brigham Young University (BA, JD)","January 3, 2011",2022,Alpine
Utah,,Mitt Romney,,Republican,"March 12, 1947 (age 74)",Businessman2012 Republican presidential nominee,Governor of Massachusetts,Brigham Young University (BA) Harvard University (JD/MBA),"January 3, 2019",2024,Holladay[46]
Vermont,,Patrick Leahy,,Democratic,"March 31, 1940 (age 81)",Lawyer,"State's Attorney, Chittenden County, Vermont",Saint Michael's College (BA) Georgetown University (JD),"January 3, 1975",2022,Middlesex
Vermont,,Bernie Sanders,,Independent[a],"September 8, 1941 (age 80)",FilmmakerWriterPolitical activist,"U.S. HouseMayor of Burlington, Vermont",University of Chicago (BA),"January 3, 2007",2024,Burlington
Virginia,,Mark Warner,,Democratic,"December 15, 1954 (age 66)",BusinessmanVenture capitalistVirginia Democratic Party Chair,Governor of Virginia,George Washington University (BA) Harvard University (JD),"January 3, 2009",2026,Alexandria
Virginia,,Tim Kaine,,Democratic,"February 26, 1958 (age 63)",MissionaryLawyerTeacherChair of the Democratic National Committee2016 Democratic Vice Presidential Nominee,"Governor of VirginiaLt. Governor of VirginiaMayor of Richmond, Virginia",University of Missouri (BA) Harvard University (JD),"January 3, 2013",2024,Richmond
Washington,,Patty Murray,,Democratic,"October 11, 1950 (age 71)",TeacherLobbyist,Washington SenateShoreline School Board,Washington State University (BA),"January 3, 1993",2022,Freeland[47]
Washington,,Maria Cantwell,,Democratic,"October 13, 1958 (age 63)",Marketing vice president,U.S. HouseWashington House of Representatives,Miami University (BA),"January 3, 2001",2024,Edmonds
West Virginia,,Joe Manchin,,Democratic,"August 24, 1947 (age 74)",Corporate executive,Governor of West VirginiaSecretary of State of West VirginiaWest Virginia SenateWest Virginia House of Delegates,West Virginia University (BBA),"November 15, 2010[y]",2024,Charleston
West Virginia,,Shelley Moore Capito,,Republican,"November 26, 1953 (age 67)","College career counselorDirector, state Board of Regents educational information center",U.S. HouseWest Virginia House of Delegates,Duke University (BA) University of Virginia (MEd),"January 3, 2015",2026,Charleston
Wisconsin,,Ron Johnson,,Republican,"April 8, 1955 (age 66)",AccountantCorporate executive,None,University of Minnesota (BS),"January 3, 2011",2022,Oshkosh
Wisconsin,,Tammy Baldwin,,Democratic,"February 11, 1962 (age 59)",Lawyer,"U.S. HouseWisconsin AssemblyDane County, Wisconsin Board of Supervisors",Smith College (BA) University of Wisconsin-Madison (JD),"January 3, 2013",2024,Madison
Wyoming,,John Barrasso,,Republican,"July 21, 1952 (age 69)",Orthopedic surgeonMedical chief of staffNonprofit organization executive,Wyoming Senate,"Rensselaer Polytechnic Institute Georgetown University (BS, MD)","June 25, 2007[z]",2024,Casper
Wyoming,,Cynthia Lummis,,Republican,"September 10, 1954 (age 67)",Lawyer,U.S. HouseWyoming TreasurerWyoming SenateWyoming House of Representatives,"University of Wyoming (BS, JD)","January 3, 2021",2026,Cheyenne
